Ruee_Calculado,Rule_Calculado,GRADO_ANNO,BACHIILER_DIVNOMBRE,Turno,PLAN,MODALIDAD,NOMBRELIC,DescPlan,RUEE_RAD
1218012,3180152,4,,VESPERTINO,PLAN 1994 MARTHA AVERBUG,SEMESTRAL,PASO DE LOS TOROS Nº 2,https://www.dges.edu.uy/propuesta-educativa/educacion-media-superior-plan-1994,
1218012,3180152,4,,VESPERTINO,PLAN 1994 MARTHA AVERBUG,SEMESTRAL,PASO DE LOS TOROS Nº 2,https://www.dges.edu.uy/propuesta-educativa/educacion-media-superior-plan-1994,
1218012,3180152,4,,VESPERTINO,PLAN 1994 MARTHA AVERBUG,SEMESTRAL,PASO DE LOS TOROS Nº 2,https://www.dges.edu.uy/propuesta-educativa/educacion-media-superior-plan-1994,
1218012,3180152,4,,VESPERTINO,PLAN 1994 MARTHA AVERBUG,SEMESTRAL,PASO DE LOS TOROS Nº 2,https://www.dges.edu.uy/propuesta-educativa/educacion-media-superior-plan-1994,
1218012,3180152,4,,VESPERTINO,PLAN 1994 MARTHA AVERBUG,SEMESTRAL,PASO DE LOS TOROS Nº 2,https://www.dges.edu.uy/propuesta-educativa/educacion-media-superior-plan-1994,
1218012,3180152,4,,MATUTINO EXTENDIDO,PLAN 2023 EDUCACIÓN MEDIA BÁSICA,ANUAL,PASO DE LOS TOROS Nº 2,https://www.dges.edu.uy/propuesta-educativa/educacion-basica-integrada-plan-2023,
1218012,3180152,4,,MATUTINO EXTENDIDO,PLAN 2023 EDUCACIÓN MEDIA BÁSICA,ANUAL,PASO DE LOS TOROS Nº 2,https://www.dges.edu.uy/propuesta-educativa/educacion-basica-integrada-plan-2023,
1218012,3180152,4,,MATUTINO EXTENDIDO,PLAN 2023 EDUCACIÓN MEDIA BÁSICA,ANUAL,PASO DE LOS TOROS Nº 2,https://www.dges.edu.uy/propuesta-educativa/educacion-basica-integrada-plan-2023,
1218012,3180152,4,,INTERMEDIO EXTENDIDO ,PLAN 2024 EDUCACIÓN MEDIA SUPERIOR,ANUAL,PASO DE LOS TOROS Nº 2,https://www.dges.edu.uy/node/120417,
1218011,3180147,7,,MATUTINO EXTENDIDO,PLAN 2023 EDUCACIÓN MEDIA BÁSICA,ANUAL,TACUAREMBO Nº 5,https://www.dges.edu.uy/propuesta-educativa/educacion-basica-integrada-plan-2023,
1218011,3180147,7,,INTERMEDIO EXTENDIDO ,PLAN 2023 EDUCACIÓN MEDIA BÁSICA,ANUAL,TACUAREMBO Nº 5,https://www.dges.edu.uy/propuesta-educativa/educacion-basica-integrada-plan-2023,
1218011,3180147,7,,MATUTINO EXTENDIDO,PLAN 2023 EDUCACIÓN MEDIA BÁSICA,ANUAL,TACUAREMBO Nº 5,https://www.dges.edu.uy/propuesta-educativa/educacion-basica-integrada-plan-2023,
1218011,3180147,7,,INTERMEDIO EXTENDIDO ,PLAN 2023 EDUCACIÓN MEDIA BÁSICA,ANUAL,TACUAREMBO Nº 5,https://www.dges.edu.uy/propuesta-educativa/educacion-basica-integrada-plan-2023,
1218011,3180147,7,,MATUTINO EXTENDIDO,PLAN 2023 EDUCACIÓN MEDIA BÁSICA,ANUAL,TACUAREMBO Nº 5,https://www.dges.edu.uy/propuesta-educativa/educacion-basica-integrada-plan-2023,
1218011,3180147,7,,INTERMEDIO EXTENDIDO ,PLAN 2023 EDUCACIÓN MEDIA BÁSICA,ANUAL,TACUAREMBO Nº 5,https://www.dges.edu.uy/propuesta-educativa/educacion-basica-integrada-plan-2023,
1218010,3180146,4,,MATUTINO EXTENDIDO,PLAN 2023 EDUCACIÓN MEDIA BÁSICA,ANUAL,TACUAREMBO Nº 4,https://www.dges.edu.uy/propuesta-educativa/educacion-basica-integrada-plan-2023,
1218010,3180146,4,,INTERMEDIO EXTENDIDO ,PLAN 2023 EDUCACIÓN MEDIA BÁSICA,ANUAL,TACUAREMBO Nº 4,https://www.dges.edu.uy/propuesta-educativa/educacion-basica-integrada-plan-2023,
1218010,3180146,4,,MATUTINO EXTENDIDO,PLAN 2023 EDUCACIÓN MEDIA BÁSICA,ANUAL,TACUAREMBO Nº 4,https://www.dges.edu.uy/propuesta-educativa/educacion-basica-integrada-plan-2023,
1218010,3180146,4,,INTERMEDIO EXTENDIDO ,PLAN 2023 EDUCACIÓN MEDIA BÁSICA,ANUAL,TACUAREMBO Nº 4,https://www.dges.edu.uy/propuesta-educativa/educacion-basica-integrada-plan-2023,
1218010,3180146,4,,MATUTINO EXTENDIDO,PLAN 2023 EDUCACIÓN MEDIA BÁSICA,ANUAL,TACUAREMBO Nº 4,https://www.dges.edu.uy/propuesta-educativa/educacion-basica-integrada-plan-2023,
1218010,3180146,4,,INTERMEDIO EXTENDIDO ,PLAN 2023 EDUCACIÓN MEDIA BÁSICA,ANUAL,TACUAREMBO Nº 4,https://www.dges.edu.uy/propuesta-educativa/educacion-basica-integrada-plan-2023,
1218010,3180146,4,,MATUTINO EXTENDIDO,PLAN 2024 EDUCACIÓN MEDIA SUPERIOR,ANUAL,TACUAREMBO Nº 4,https://www.dges.edu.uy/node/120417,
